"","region","Var1","Var2","value"
"96","thalamus","pipeline 8","pipeline 4",0.871414401568615
"97","thalamus","pipeline 1","pipeline 5",0.879087300327414
"98","thalamus","pipeline 2","pipeline 5",0.878095980130365
"99","thalamus","pipeline 3","pipeline 5",0.874920812458374
"100","thalamus","pipeline 4","pipeline 5",0.870888855647238
"101","thalamus","pipeline 5","pipeline 5",1
"102","thalamus","pipeline 6","pipeline 5",0.894411705331151
"103","thalamus","pipeline 7","pipeline 5",0.820592396841356
"104","thalamus","pipeline 8","pipeline 5",0.99994614442273
"105","thalamus","pipeline 1","pipeline 6",0.776764110465235
"106","thalamus","pipeline 2","pipeline 6",0.77402837792816
"107","thalamus","pipeline 3","pipeline 6",0.771979325788601
"108","thalamus","pipeline 4","pipeline 6",0.766256550921463
"109","thalamus","pipeline 5","pipeline 6",0.894411705331151
"110","thalamus","pipeline 6","pipeline 6",1
"111","thalamus","pipeline 7","pipeline 6",0.920365035822093
"112","thalamus","pipeline 8","pipeline 6",0.894106881106082
"113","thalamus","pipeline 1","pipeline 7",0.894381688748563
"114","thalamus","pipeline 2","pipeline 7",0.891995357129889
"115","thalamus","pipeline 3","pipeline 7",0.891304542958092
"116","thalamus","pipeline 4","pipeline 7",0.889402419423779
"117","thalamus","pipeline 5","pipeline 7",0.820592396841356
"118","thalamus","pipeline 6","pipeline 7",0.920365035822093
"119","thalamus","pipeline 7","pipeline 7",1
"120","thalamus","pipeline 8","pipeline 7",0.820799560214782
"121","thalamus","pipeline 1","pipeline 8",0.879639713215877
"122","thalamus","pipeline 2","pipeline 8",0.87860424702162
"123","thalamus","pipeline 3","pipeline 8",0.875451555631411
"124","thalamus","pipeline 4","pipeline 8",0.871414401568616
"125","thalamus","pipeline 5","pipeline 8",0.99994614442273
"126","thalamus","pipeline 6","pipeline 8",0.894106881106082
"127","thalamus","pipeline 7","pipeline 8",0.820799560214782
"128","thalamus","pipeline 8","pipeline 8",1
"129","putamen","pipeline 1","pipeline 1",1
"130","putamen","pipeline 2","pipeline 1",0.999380029453396
"131","putamen","pipeline 3","pipeline 1",0.999289061037336
"132","putamen","pipeline 4","pipeline 1",0.998562149487123
"133","putamen","pipeline 5","pipeline 1",0.989739774379976
"134","putamen","pipeline 6","pipeline 1",0.907562634996931
"135","putamen","pipeline 7","pipeline 1",0.910670116619803
"136","putamen","pipeline 8","pipeline 1",0.989815610647621
"137","putamen","pipeline 1","pipeline 2",0.999380029453396
"138","putamen","pipeline 2","pipeline 2",1
"139","putamen","pipeline 3","pipeline 2",0.999041433638471
"140","putamen","pipeline 4","pipeline 2",0.999334549267688
"141","putamen","pipeline 5","pipeline 2",0.989043221852561
"142","putamen","pipeline 6","pipeline 2",0.905976973708357
"143","putamen","pipeline 7","pipeline 2",0.908565612995831
"144","putamen","pipeline 8","pipeline 2",0.98908576560117
"145","putamen","pipeline 1","pipeline 3",0.999289061037336
"146","putamen","pipeline 2","pipeline 3",0.999041433638471
"147","putamen","pipeline 3","pipeline 3",1
"148","putamen","pipeline 4","pipeline 3",0.999189953832917
"149","putamen","pipeline 5","pipeline 3",0.989632864104375
"150","putamen","pipeline 6","pipeline 3",0.907221077907938
"151","putamen","pipeline 7","pipeline 3",0.909538996523031
"152","putamen","pipeline 8","pipeline 3",0.989694656599189
"153","putamen","pipeline 1","pipeline 4",0.998562149487123
"154","putamen","pipeline 2","pipeline 4",0.999334549267688
"155","putamen","pipeline 3","pipeline 4",0.999189953832917
"156","putamen","pipeline 4","pipeline 4",1
"157","putamen","pipeline 5","pipeline 4",0.989757715348126
"158","putamen","pipeline 6","pipeline 4",0.907383039743818
"159","putamen","pipeline 7","pipeline 4",0.907968530049473
"160","putamen","pipeline 8","pipeline 4",0.989787211494874
"161","putamen","pipeline 1","pipeline 5",0.989739774379976
"162","putamen","pipeline 2","pipeline 5",0.989043221852561
"163","putamen","pipeline 3","pipeline 5",0.989632864104375
"164","putamen","pipeline 4","pipeline 5",0.989757715348126
"165","putamen","pipeline 5","pipeline 5",1
"166","putamen","pipeline 6","pipeline 5",0.914277092748425
"167","putamen","pipeline 7","pipeline 5",0.895552023526226
"168","putamen","pipeline 8","pipeline 5",0.999929006743588
"169","putamen","pipeline 1","pipeline 6",0.907562634996931
"170","putamen","pipeline 2","pipeline 6",0.905976973708357
"171","putamen","pipeline 3","pipeline 6",0.907221077907939
"172","putamen","pipeline 4","pipeline 6",0.907383039743818
"173","putamen","pipeline 5","pipeline 6",0.914277092748425
"174","putamen","pipeline 6","pipeline 6",1
"175","putamen","pipeline 7","pipeline 6",0.985042258277359
"176","putamen","pipeline 8","pipeline 6",0.914513435496926
"177","putamen","pipeline 1","pipeline 7",0.910670116619803
"178","putamen","pipeline 2","pipeline 7",0.908565612995831
"179","putamen","pipeline 3","pipeline 7",0.909538996523031
"180","putamen","pipeline 4","pipeline 7",0.907968530049473
"181","putamen","pipeline 5","pipeline 7",0.895552023526226
"182","putamen","pipeline 6","pipeline 7",0.985042258277359
"183","putamen","pipeline 7","pipeline 7",1
"184","putamen","pipeline 8","pipeline 7",0.89586451141945
"185","putamen","pipeline 1","pipeline 8",0.989815610647621
"186","putamen","pipeline 2","pipeline 8",0.98908576560117
"187","putamen","pipeline 3","pipeline 8",0.989694656599189
"188","putamen","pipeline 4","pipeline 8",0.989787211494874
"189","putamen","pipeline 5","pipeline 8",0.999929006743588
"190","putamen","pipeline 6","pipeline 8",0.914513435496926
"191","putamen","pipeline 7","pipeline 8",0.895864511419451
"192","putamen","pipeline 8","pipeline 8",1
"193","caudate","pipeline 1","pipeline 1",1
"194","caudate","pipeline 2","pipeline 1",0.999374657888783
"195","caudate","pipeline 3","pipeline 1",0.998449293710769
"196","caudate","pipeline 4","pipeline 1",0.99803099101169
"197","caudate","pipeline 5","pipeline 1",0.978583617044963
"198","caudate","pipeline 6","pipeline 1",0.90161184108778
"199","caudate","pipeline 7","pipeline 1",0.89054103370666
"200","caudate","pipeline 8","pipeline 1",0.976355886985142
"201","caudate","pipeline 1","pipeline 2",0.999374657888783
