id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,200851;1,285708;1,918815;3,187012;0,6943953;1,670706;1,661542;2,437462;1,295142;1,911736;2,910142;0,7293586;1,645419;1,673484;0,5014857;0,7695049;0,33198;0,5296013;0,542129;0,474027;0,3702269;0,3632122;0,5509468;0,3584567;0,5900016;0,527147;0,7253012;0,3880825;0,530268;0,5033909;0,4880312;0,2597118;0,4052434;0,5306582;0,422069;0,6902201;0,4297151;0,4876521;0,8369626;0,4430957;0,3790505;0,3288043;0,5442127;0,3758623;0,4043695;0,5564949;0,7523631;0,9889572;0,4916134;0,6826295;0,3016334;0,5362975;0,8167923;0,4575959;0,3350913;0,3783469;0,5184876;0,3391108;0,5611996;0,4876091;0,6246495;0,3997799;0,6539362;0,5298691;0,4551661;0,3551627;0,3942452;0,5772393;0,392146;0,7125578;0,3540423;0,4989464;0,8010456;0,3687822;0,3724428;0,3382014;0,5438669;0,3868814;0,4759838;0,711167;0,7611359;0,9405233
D10;2,537363;1,759418;2,727809;3,67381;1,04078;2,802064;2,548945;3,071809;1,760915;2,683182;3,14643;1,031482;3,009723;2,259316;0,7818118;1,297044;0,3675417;0,7974419;0,8913602;0,5834706;0,4838896;0,5016926;0,7345861;0,5769204;0,7401053;0,741279;0,916652;0,5832592;0,7621037;0,6904845;0,5942692;0,4141893;0,5572408;1,067106;0,6846462;0,940031;0,5711591;0,6955391;1,124681;0,4671958;0,5266055;0,5011999;0,8881219;0,5922323;0,5735677;0,8763246;1,156998;1,484622;0,7734562;1,090662;0,3452483;0,8370865;0,6242285;0,5958476;0,524178;0,4553122;0,6742326;0,5740033;0,7163162;0,6612295;0,7939727;0,6007281;0,6522547;0,7591251;0,6301032;0,4025862;0,5315548;0,9185346;0,669115;0,9885639;0,4797169;0,7146084;1,191674;0,4354628;0,5006806;0,5204143;0,945823;0,6208134;0,5411523;0,8406124;1,096769;1,41271
D11;2,065282;1,615049;2,549548;2,758711;0,6821847;2,225704;2,116485;2,390303;1,758833;2,461465;2,667135;0,6211291;1,610831;2,527626;0,6138743;1,043663;0,3773954;0,705918;1,106226;0,5501993;0,3889123;0,4235495;0,5594832;0,4813499;0,7247262;0,6163165;0,8249794;0,4489148;0,7913657;0,4929202;0,6468336;0,5044676;0,6283221;0,8965031;0,5648938;0,8247146;0,462029;0,4767322;0,8426187;0,5658276;0,4087738;0,2796706;0,6867744;0,4464796;0,587169;0,7693931;1,031965;1,207982;0,613128;0,9173041;0,3479963;0,6387145;0,8661962;0,5614403;0,3504988;0,4739353;0,4750228;0,4492851;0,7052999;0,5750227;0,6688212;0,4144895;0,660532;0,457101;0,5955854;0,4930025;0,5918491;0,8373258;0,4518486;0,7494369;0,405606;0,3816781;0,920223;0,4785725;0,4026425;0,2422703;0,6939406;0,4564421;0,5059653;0,9259156;1,027582;1,110013
D12;2,640631;1,924345;2,546098;3,033109;0,7391291;1,814468;2,394659;2,896082;2,007456;2,485502;3,011959;0,710062;1,855347;1,965207;0,6064808;0,8965755;0,3830499;0,812598;0,7068729;0,4766681;0,4493645;0,406396;0,6173344;0,4964185;0,7100893;0,6372427;0,7565803;0,3782221;0,7332404;0,6358136;0,6348766;0,471866;0,6054609;0,882543;0,5947724;0,9021279;0,524472;0,5861732;0,8936869;0,5825543;0,5080067;0,3863645;0,5991636;0,5086729;0,5468939;0,7452777;1,052223;1,275369;0,5335431;0,8674624;0,423532;0,6692027;0,8420981;0,4647077;0,4177139;0,4065997;0,599812;0,4948624;0,6841227;0,5534556;0,6748275;0,4131729;0,5816649;0,6004287;0,5952889;0,4880424;0,6115749;0,9011691;0,5366676;0,8916824;0,4962136;0,4947189;0,9572498;0,5192955;0,4791842;0,3495888;0,6138692;0,6011143;0,4796253;0,7070165;0,9409172;1,151929
D13;1,896191;1,234167;1,897468;1,631418;0,7101525;1,859481;2,737031;2,14266;1,289403;1,856953;1,75477;0,7262662;1,754301;2,000563;0,6019056;1,013364;0,3842637;0,7980259;0,9071513;0,6134383;0,416001;0,3871119;0,6425034;0,475819;0,548515;0,6124697;0,7150018;0,4571851;0,7648495;0,6138164;0,5945051;0,315461;0,4780566;0,7411881;0,531204;1,037445;0,4537847;0,6078406;0,7724416;0,4373858;0,3695558;0,4744159;0,647902;0,4785976;0,2885577;0,7056023;0,8518634;1,107628;0,6177749;0,7920414;0,332658;0,7500414;0,8197701;0,5602147;0,445406;0,3944235;0,7812065;0,4934576;0,5572534;0,5649308;0,6107099;0,4232687;0,7679285;0,6787183;0,5060662;0,3427751;0,4715748;0,7651167;0,476325;0,9419336;0,4059013;0,6602943;0,8055563;0,4187433;0,3382682;0,4573224;0,6006342;0,4915513;0,3840023;0,6097849;0,7854782;1,020311
D14;2,058244;1,253518;1,820328;2,044838;0,6627043;1,677755;1,691778;2,086182;1,293081;1,795209;1,991042;0,6191392;1,638557;1,488891;0,5734216;0,8184267;0,3806448;0,7220183;0,8929565;0,556318;0,4688543;0,3771874;0,6018558;0,4596141;0,4724658;0,5777804;0,6354465;0,4474869;0,5849001;0,5836274;0,5852667;0,3088809;0,4504623;0,7385983;0,5143558;0,9131037;0,430732;0,5974911;0,7153384;0,4406483;0,3567451;0,4740818;0,5960528;0,4927859;0,2705087;0,6054667;0,8175405;1,028607;0,5576441;0,7439357;0,2928884;0,7336696;0,7953709;0,5093541;0,4654128;0,3323168;0,6068724;0,4626169;0,5061607;0,5300059;0,5106462;0,3991712;0,5085971;0,628621;0,455249;0,2951481;0,4659279;0,7053421;0,4335324;0,8573977;0,3711466;0,6467437;0,7245219;0,4280064;0,3344094;0,4281432;0,5338243;0,4586532;0,3454216;0,5541105;0,7131701;0,9656081
D15;2,171343;1,539635;1,998966;3,732465;0,8143214;2,292666;1,802736;2,298823;1,879783;1,999856;3,050846;0,9595212;2,295423;1,702065;0,7654238;0,9606958;0,4040758;0,7879844;0,8637469;0,5910413;0,4679885;0,394218;0,5368105;0,4639742;0,6518981;0,6492882;0,8460717;0,4736082;0,6125599;0,6066193;0,5976912;0,3754825;0,6238954;0,8264024;0,611981;0,7628231;0,4908847;0,5520989;0,9076344;0,5428976;0,4547865;0,3884726;0,8579538;0,5052232;0,5542957;0,6765132;1,082356;1,283237;0,6816119;0,9826909;0,3744903;0,7546049;1,112559;0,6058364;0,4095599;0,4759109;0,5550106;0,459424;0,6819705;0,5512382;0,6590742;0,5080932;0,856599;0,6243207;0,5092339;0,3907122;0,510165;0,746395;0,5566808;0,7335397;0,4614585;0,5148621;1,08751;0,4511494;0,4608373;0,3595951;0,8951946;0,5001611;0,4942359;0,9149108;1,154639;1,203743
D16;1,899968;1,593616;1,942556;2,423368;0,7991302;2,017593;2,268989;2,158773;1,700615;1,964591;2,69301;0,8627416;1,786087;1,757075;0,5983646;0,888843;0,4174546;0,6819423;0,9392013;0,5920772;0,4370112;0,3688884;0,6020603;0,3923293;0,6547738;0,5701175;0,817284;0,4447367;0,6150932;0,5974481;0,5532381;0,3769276;0,5720401;0,8164631;0,5832183;0,7554914;0,4858312;0,5024809;0,8813203;0,5199218;0,4737325;0,3756988;0,7713475;0,5037154;0,4994331;0,7347409;0,9938575;1,329821;0,5859204;1,084501;0,3392542;0,708175;0,9673535;0,5751034;0,3950168;0,4482666;0,5708627;0,3918294;0,6925744;0,5313942;0,674934;0,448667;0,7327403;0,6653004;0,5114427;0,4127791;0,4842683;0,7291308;0,5511717;0,8025572;0,4529843;0,5059837;0,9045579;0,4552151;0,4820419;0,3406224;0,8196658;0,4686124;0,4909597;0,9811495;1,187258;1,223538
D18;2,105425;1,450719;2,140146;3,812179;0,7256315;1,786188;1,870969;2,872564;1,398141;2,080071;1,602771;0,7070827;1,490309;1,652974;0,6482943;1,034828;0,4849498;0,8086876;0,7784935;0,5596921;0,4858074;0,4695759;0,6319729;0,5613523;0,6018338;0,6968589;0,6499329;0,4574342;0,7738665;0,6549743;0,688386;0,3968605;0,6249725;0,774723;0,6921118;0,8876537;0,5438478;0,6110547;0,842145;0,4981504;0,500023;0,5167898;0,7486574;0,5683742;0,3745329;0,7724677;1,113862;1,201866;0,6043655;0,9194139;0,3974225;0,8318144;0,8516032;0,5687363;0,4657453;0,4529805;0,6772033;0,5585157;0,5960789;0,6277261;0,5888247;0,4577502;0,8037794;0,7116343;0,5888745;0,4168407;0,6102075;0,8134428;0,6546968;0,8957399;0,4981865;0,6996804;0,7893402;0,4387068;0,4572015;0,5395256;0,7232469;0,5216071;0,4618899;0,8200585;0,933983;1,163276
D19;2,232525;1,545102;2,162666;3,053536;0,847606;1,933115;2,466852;2,470005;1,925214;2,299955;2,397621;0,8541078;1,943547;2,164516;0,6629687;0,9435461;0,4139686;0,7789576;0,8143405;0,5814426;0,503645;0,4145188;0,6326516;0,4914791;0,6194225;0,6383505;0,7724684;0,4858814;0,6460296;0,5620685;0,5717791;0,3703459;0,5092468;0,8232421;0,567918;0,8802248;0,4268237;0,5859627;0,772494;0,515805;0,4446569;0,4837621;0,6920754;0,5221843;0,4025404;0,5585217;1,085668;1,112972;0,6074844;0,8289455;0,4202999;0,7041668;0,7295459;0,5602964;0,4845667;0,4373728;0,6248652;0,5122787;0,6263593;0,5390762;0,66317;0,5104326;0,6401676;0,5885354;0,5931455;0,3918586;0,5629332;0,8067444;0,5725842;0,8651637;0,4366051;0,616884;0,8802184;0,4554237;0,4302003;0,4264484;0,7236828;0,551449;0,4066727;0,743961;1,021852;1,112503
