id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,078271;1,27707;2,02213;2,460485;0,6912216;1,989394;2,113028;2,237179;1,329122;2,035903;2,53822;0,7214801;2,051916;1,974345;0,5031501;0,7895629;0,318996;0,5501809;0,7761821;0,5444212;0,3638989;0,4042778;0,5717124;0,3773819;0,6399785;0,5584948;0,7689744;0,4177214;0,6513936;0,5014743;0,4808387;0,2916575;0,4110484;0,5358152;0,4412434;0,7394295;0,4236701;0,4871143;0,8389514;0,4395821;0,3683866;0,3311151;0,5762727;0,366517;0,4291354;0,7613284;0,7402894;1,01427;0,5113222;0,7153245;0,2871651;0,5597106;0,8907855;0,5062852;0,3287384;0,4156106;0,5114124;0,3451977;0,5989266;0,5173958;0,642383;0,4322916;0,7070518;0,5282028;0,4467011;0,3569979;0,3981984;0,574425;0,4113804;0,7110697;0,3593896;0,5126306;0,8351613;0,3806418;0,3599544;0,3364446;0,5791695;0,3827004;0,48987;0,8706389;0,6507728;0,9933471
D10;2,236271;1,822876;2,677128;2,794436;0,878517;2,544805;2,710191;2,61143;1,829965;2,712268;2,362776;0,9218963;2,959737;2,258533;0,7345095;1,128653;0,3312789;0,6940337;0,8375563;0,5630491;0,4024629;0,4779117;0,7454526;0,5206764;0,7505331;0,7510299;0,8856917;0,5700962;0,7273586;0,6545641;0,5478981;0,3889863;0,5368915;0,9620526;0,610586;0,8847842;0,5065045;0,6492322;1,046763;0,4400237;0,4901407;0,4057249;0,7919351;0,5178004;0,6231407;0,9226261;1,067825;1,303792;0,6928535;0,9662785;0,2795967;0,7292673;0,7563511;0,6106274;0,435646;0,475458;0,7230659;0,545601;0,7362686;0,7027016;0,7899307;0,5914425;0,736445;0,660249;0,577363;0,3786283;0,5199399;0,882655;0,5823391;0,9426957;0,417189;0,6683179;1,149167;0,4189694;0,4490445;0,4159888;0,8741228;0,5426557;0,5395037;0,9135121;1,076913;1,253811
D11;2,015705;1,801644;2,422351;2,8318;0,5589747;1,870233;2,17923;2,328265;1,893861;2,482103;2,526384;0,5226632;1,654177;2,210501;0,6003256;0,8992528;0,3779275;0,6503047;0,7625329;0,5422595;0,3813397;0,4126497;0,5762053;0,4887071;0,7442079;0,6594995;0,8360545;0,4540416;0,7605533;0,4717016;0,6517272;0,4575957;0,6273121;0,9017505;0,5614933;0,7601155;0,4404385;0,4578464;0,8654152;0,583503;0,4219498;0,2593246;0,6770715;0,4261819;0,6419749;0,7868296;0,9433437;1,11747;0,5798614;0,8208811;0,3506075;0,5569341;0,8203932;0,5357515;0,3384294;0,4587275;0,4773878;0,4482984;0,7066907;0,5994762;0,6978292;0,4087248;0,6509451;0,4435578;0,5948271;0,4428874;0,5988547;0,8243237;0,4493421;0,7292202;0,3739133;0,3738377;0,8836717;0,5166923;0,4160851;0,2141369;0,6665042;0,4474405;0,5129865;0,8302198;0,8810716;1,043538
D12;2,216063;1,979308;2,569179;2,864047;0,611189;1,809219;2,380517;2,515919;2,066657;2,530691;2,480952;0,6227434;1,824381;2,110403;0,5846669;0,9289852;0,4495041;0,6984843;0,6727021;0,5209373;0,421736;0,4223176;0,6299664;0,5077283;0,7377371;0,6854779;0,7485929;0,4038309;0,7257391;0,5742706;0,6079652;0,5057639;0,6119341;0,9108879;0,5745631;0,8764416;0,4838084;0,5191185;0,8458591;0,5652696;0,4845492;0,3355476;0,6003584;0,4604087;0,4873813;0,8430644;1,006053;1,182882;0,4787722;0,7935045;0,4034612;0,5829064;0,9424407;0,5097224;0,3760248;0,4146822;0,6009937;0,4830669;0,6958575;0,6110884;0,6565113;0,4114635;0,6277945;0,5730406;0,5509551;0,4594274;0,5775876;0,8440117;0,4836537;0,8892598;0,424358;0,4565125;0,8911773;0,499128;0,4410706;0,2880355;0,5685645;0,4675117;0,4713684;0,8436225;0,9330837;1,052322
D13;1,795606;1,368503;1,905168;1,713223;0,668398;2,213958;2,405537;1,982834;1,402234;1,904388;1,530608;0,6619669;2,075946;2,028476;0,5962219;0,8757977;0,3684893;0,793382;0,9733354;0,6534883;0,3940835;0,4180573;0,6513713;0,4884532;0,5470229;0,6667361;0,71029;0,4750685;0,7399921;0,6129444;0,5936743;0,2986998;0,4683838;0,7250612;0,5316301;0,9834908;0,4448116;0,6000967;0,7583713;0,4287691;0,3568959;0,4583335;0,6805846;0,4613275;0,3112098;0,8686225;0,7968377;1,096861;0,6333589;0,7452844;0,2830362;0,7308161;0,8746616;0,6061109;0,4328436;0,4053462;0,7260733;0,5079423;0,5422203;0,6159671;0,5688219;0,4426775;0,8228052;0,6824921;0,4876631;0,32605;0,4563379;0,7806995;0,4706986;0,9346485;0,3882277;0,6392612;0,7935075;0,407725;0,3253232;0,4378665;0,6161868;0,4741687;0,3940153;0,7834374;0,7627161;0,9987369
D14;1,690424;1,316807;1,853267;1,513279;0,553385;1,890262;1,971573;1,776841;1,337646;1,82918;1,360302;0,5786152;1,881643;1,59779;0,5958304;0,8385501;0,3282039;0,7125003;0,9772497;0,5985479;0,4168967;0,4051327;0,6000248;0,466286;0,4980677;0,6226616;0,6527429;0,4754171;0,6458202;0,5684642;0,5752562;0,3084398;0,4509434;0,7318385;0,5011553;0,8944842;0,4137741;0,5723713;0,720169;0,4235758;0,3324368;0,43698;0,6174918;0,4656623;0,2835641;0,7716999;0,8038707;1,006381;0,5665597;0,723314;0,2407326;0,7469389;0,8509415;0,5547113;0,4170852;0,3605293;0,6085094;0,4696021;0,5166979;0,5681896;0,5292933;0,4093854;0,6182536;0,6219817;0,4325158;0,2867237;0,4596583;0,7121479;0,4014166;0,8802863;0,3455188;0,622236;0,7501755;0,3865587;0,3104486;0,4000543;0,5567851;0,4147955;0,370582;0,7501895;0,6944289;0,9610314
D15;1,838006;1,607212;1,981332;2,327902;0,7797192;2,046085;1,850534;2,028253;1,9849;2,067874;2,03465;0,7993141;2,011005;1,952571;0,6886081;0,899116;0,3638724;0,7222137;1,099377;0,6617633;0,4368186;0,4239319;0,5577082;0,5002927;0,7049427;0,6880504;0,8608407;0,4915518;0,7428883;0,533883;0,5942387;0,4226031;0,6374638;0,8234613;0,5810475;0,7795478;0,4386086;0,4921354;0,84348;0,5420327;0,4302656;0,3410673;0,8068929;0,4859436;0,5611333;0,8068963;1,068821;1,118146;0,6048337;0,9790342;0,3485228;0,7108333;1,160597;0,6748213;0,3743324;0,4750653;0,5681106;0,4608763;0,7098245;0,5955783;0,6632024;0,4933574;0,9786873;0,5989628;0,4829938;0,3802896;0,4832654;0,7461781;0,5236173;0,7269321;0,4088599;0,4878785;0,9929235;0,4372365;0,4366649;0,3189963;0,8163789;0,4546171;0,5074004;1,023368;1,0532;1,099126
D16;1,676356;1,594062;1,898248;1,852716;0,7044757;1,958162;1,904227;1,955093;1,849344;2,007798;1,837213;0,746214;1,758899;1,762187;0,5723034;0,8705199;0,3950809;0,6560986;1,130057;0,6269868;0,4165653;0,3920428;0,6012186;0,4356077;0,6944607;0,6367808;0,815089;0,46434;0,6727766;0,5162803;0,5471057;0,4082304;0,5801324;0,8238185;0,5473115;0,7720874;0,4437224;0,4835282;0,8481919;0,51467;0,4488184;0,3414118;0,7059648;0,469922;0,5304168;0,8007769;0,9819941;1,09274;0,5566102;0,9933559;0,3294696;0,6823128;1,065389;0,6295566;0,3754781;0,4604225;0,6045318;0,4149114;0,7038091;0,5697006;0,6542604;0,4603794;0,8246847;0,6216154;0,4921268;0,4167178;0,4795664;0,7380023;0,5199433;0,7776793;0,4155235;0,4815468;0,8725513;0,4495663;0,4550325;0,3141422;0,7363556;0,4290438;0,5069577;1,011736;1,055517;1,026398
D18;1,590762;1,647986;2,284577;1,788027;0,7068696;1,779532;1,980303;1,688152;1,66335;2,201212;1,473688;0,62493;1,591068;1,860253;0,6911438;1,041184;0,4622732;0,7979064;0,7824316;0,6166509;0,4766193;0,4948161;0,6861979;0,5779421;0,6211823;0,7314408;0,6706075;0,4869923;0,8039936;0,6513341;0,6703085;0,3410262;0,6124528;0,7667324;0,7193815;0,9111811;0,5197042;0,6082073;0,8678485;0,5001947;0,4937417;0,5258759;0,7692681;0,590373;0,430594;0,8790169;1,047375;1,189505;0,6318362;0,9028649;0,3794293;0,8237107;0,9464585;0,657725;0,442523;0,5006669;0,7256999;0,5569036;0,6235844;0,7056335;0,6095294;0,4708817;0,8794829;0,7480953;0,5729884;0,4059821;0,6265979;0,8071029;0,657795;0,9390267;0,4458088;0,6890569;0,8384253;0,4440414;0,4466632;0,5413251;0,7447391;0,5159357;0,4404638;0,9896416;0,920103;1,184728
D19;1,822648;1,719626;2,238528;2,566313;0,6591393;2,232344;1,962542;1,982995;2,07837;2,284162;2,162727;0,6875322;2,141529;2,12837;0,7008661;0,9609501;0,3908065;0,8020817;0,9957925;0,6773474;0,4939982;0,456307;0,6729293;0,5605252;0,6145329;0,7663994;0,7762448;0,5012538;0,7037054;0,5803606;0,5544927;0,3293815;0,5166251;0,8540419;0,5730519;0,9225879;0,4113325;0,5895607;0,7641837;0,5147904;0,4328295;0,4800388;0,7441438;0,5112072;0,4602702;0,7539091;1,07533;1,100668;0,6538763;0,8673091;0,3961304;0,7301139;0,7898429;0,6917334;0,4823131;0,4785375;0,7184077;0,5561665;0,6351831;0,6648701;0,6603415;0,5440756;0,7400339;0,5962004;0,5885668;0,3620289;0,5630247;0,8220397;0,5765436;0,9034124;0,4109845;0,6181257;0,9153953;0,4646126;0,4170253;0,4331429;0,7675937;0,5450635;0,4269575;0,9182482;1,077027;1,138024
D2;1,978931;1,201974;1,985847;2,216356;0,6579042;1,86216;2,279666;2,12306;1,22361;1,938248;2,19831;0,6587079;1,965968;1,905298;0,4666216;0,7092562;0,3272494;0,6388713;0,7828543;0,5143754;0,3768044;0,3796104;0,5753861;0,3938007;0,5999695;0,5570435;0,7532501;0,4071919;0,6110834;0,4862632;0,4477567;0,3089834;0,4075511;0,5754607;0,4569005;0,7479035;0,4067554;0,4925226;0,7795385;0,4344934;0,3847458;0,3379553;0,5573204;0,3734047;0,4446952;0,773771;0,7170822;0,9502602;0,5024208;0,6652079;0,2981618;0,5826694;0,8332868;0,4753825;0,3490464;0,3986214;0,5337821;0,3796226;0,5899897;0,5181957;0,6055817;0,4347404;0,6916098;0,5106566;0,4769662;0,3894694;0,4190609;0,5647523;0,410043;0,6993714;0,3368608;0,5206795;0,737652;0,375775;0,3501452;0,3573817;0,5580531;0,3742427;0,4198623;0,8152827;0,7360923;0,9240464
D20;1,880038;1,674878;2,092758;2,537249;0,6157115;1,858618;1,779993;2,052855;1,919488;2,232943;2,284128;0,6532792;1,757522;2,148557;0,5602346;0,8814499;0,3429455;0,6717031;0,860572;0,615572;0,4486215;0,4460429;0,6692226;0,4834534;0,5720807;0,6373272;0,7146303;0,4367852;0,6456063;0,5261734;0,5587963;0,3521287;0,5107303;0,7228277;0,4969337;0,8279939;0,3647653;0,5916791;0,7685817;0,4687369;0,3964843;0,4040236;0,6159952;0,4748041;0,4191811;0,5924011;0,9399602;1,015258;0,6653997;0,8256086;0,3878313;0,7132935;0,6153347;0,5989765;0,4425517;0,4659077;0,6212992;0,4763233;0,6073025;0,5604629;0,6525192;0,5300699;0,6810725;0,5464945;0,5998007;0,3730314;0,5651977;0,7817437;0,5049107;0,8347294;0,3700574;0,6018824;0,783843;0,4737949;0,3818099;0,3754541;0,7190349;0,514974;0,3966865;0,8061747;0,9539535;1,0712
D21;2,086266;1,678198;2,147195;2,098079;0,7833484;2,275198;2,226186;2,41406;1,789786;2,257168;1,848416;0,7722143;2,121692;2,12634;0,710086;0,885034;0,461378;0,8720835;1,369375;0,7021507;0,4623314;0,4218056;0,5960252;0,6221101;0,6568392;0,7982279;0,6396613;0,514385;0,8242191;0,7124572;0,5727447;0,4944712;0,6137917;1,082277;0,6876326;0,8019766;0,5266784;0,578118;0,7755962;0,5631324;0,4689351;0,4647528;0,7763472;0,5555149;0,5487083;0,8294521;1,09069;1,035679;0,6605355;0,761533;0,3842834;0,741015;1,059017;0,7542061;0,4024314;0,4339529;0,6122855;0,5542814;0,6400945;0,7380303;0,6106108;0,4956886;0,8321754;0,7515662;0,4952933;0,4732527;0,4707158;0,9853289;0,5813543;0,8314869;0,4878847;0,5996214;0,7954849;0,4643408;0,446955;0,4373078;0,7901333;0,4630921;0,5169972;1,027505;1,111164;1,065183
