id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,234019;1,258008;1,943638;2,800552;0,690967;1,643342;1,954284;2,449448;1,276016;1,9523;2,673188;0,7071514;1,618175;1,893632;0,499318;0,7907597;0,407181;0,5324825;0,5832053;0,4664545;0,3643404;0,3568032;0,5601426;0,3412019;0,6053837;0,5179328;0,7484461;0,3857177;0,5300024;0,4973456;0,4935634;0,2793334;0,4051048;0,5324096;0,4262344;0,6964955;0,436542;0,4940223;0,8533016;0,4499195;0,3855081;0,3235182;0,5480015;0,3744392;0,4129789;0,5694438;0,7654677;0,9926562;0,4961418;0,6981547;0,3073535;0,5489701;0,7889422;0,448396;0,3282769;0,3725323;0,5284024;0,3185289;0,5747909;0,4809818;0,63206;0,4034667;0,6234048;0,5109896;0,4619081;0,3574548;0,4114933;0,5772962;0,3946596;0,7248113;0,3634158;0,5062453;0,8061747;0,3817662;0,375151;0,3302758;0,547757;0,3880389;0,478029;0,7031068;0,7654048;0,9708776
D10;2,498916;1,747454;2,686435;3,555098;0,9331992;2,670844;2,669793;2,981198;1,712399;2,669601;2,738659;0,9764198;3,0549;2,471018;0,7625841;1,24896;0,3670666;0,7768334;0,7829719;0,5599351;0,4621687;0,480275;0,7431405;0,5354953;0,7736678;0,728474;0,9234675;0,5746652;0,6684464;0,695504;0,585997;0,447309;0,5633168;1,032877;0,6704697;0,9193805;0,5671333;0,6839541;1,119393;0,4752389;0,5313151;0,4793975;0,8661257;0,5754534;0,6078258;0,8756133;1,162832;1,448651;0,7614702;1,054703;0,3305578;0,8236704;0,7164362;0,6051673;0,4938344;0,4659099;0,6987222;0,5430446;0,7678479;0,6751554;0,802932;0,6005826;0,7042985;0,7518339;0,6319808;0,412534;0,5419372;0,9226848;0,6497238;0,983614;0,4844422;0,7051862;1,181812;0,4474833;0,4953285;0,4897568;0,9299662;0,5951181;0,551797;0,9409609;1,092749;1,395516
D11;2,131954;1,764944;2,460318;2,808289;0,6051641;2,149705;2,204201;2,504678;1,813711;2,456164;2,69661;0,5857034;1,59459;2,621152;0,616057;1,00561;0,383058;0,6804325;0,7860364;0,5210278;0,3765431;0,3990628;0,5653905;0,4570035;0,7233811;0,6391337;0,8397666;0,4329614;0,7656336;0,5013778;0,643525;0,4505213;0,617946;0,9014508;0,5656155;0,7967198;0,4732224;0,4888848;0,8859817;0,5840719;0,4306375;0,2765866;0,6812406;0,4369674;0,6635882;0,7393399;0,992744;1,210808;0,6083755;0,8639151;0,3809755;0,6828019;0,7485863;0,5394413;0,343169;0,4712267;0,4728951;0,4219775;0,7157643;0,5965621;0,676896;0,4005823;0,6358051;0,4550326;0,6169056;0,4495385;0,6327218;0,8610089;0,4609797;0,7232651;0,4257015;0,3860719;0,9435483;0,5197833;0,4245694;0,2374564;0,7095421;0,463737;0,5227513;0,8876313;0,9824881;1,147483
D12;2,611839;1,842977;2,535472;2,821621;0,6510605;1,70108;2,640883;2,784295;1,988532;2,453708;2,843552;0,6294314;1,741667;2,124696;0,6005923;0,9093019;0,5109201;0,7767448;0,6422436;0,4738577;0,4216029;0,4040969;0,6234089;0,4700713;0,740618;0,648964;0,7583201;0,3817236;0,6838675;0,5935679;0,6166933;0,5262824;0,608877;0,8861555;0,5762251;0,9111352;0,514293;0,5489825;0,8647157;0,5742634;0,4935605;0,3503583;0,5950254;0,4729492;0,5203911;0,7661928;1,070919;1,245957;0,5114214;0,8649554;0,4139928;0,6250542;0,841714;0,4606171;0,3885228;0,3976529;0,6015987;0,4685299;0,7021408;0,5720736;0,6641839;0,4103837;0,5580796;0,5842513;0,565543;0,4801871;0,5945811;0,8888306;0,5000445;0,8968621;0,4680811;0,4813832;0,9371202;0,5079667;0,4605182;0,3107218;0,5881201;0,5189077;0,4822195;0,766413;0,9704224;1,118117
D13;1,965551;1,247668;1,927893;1,732835;0,6752957;1,877336;2,734833;2,289628;1,317301;1,86978;1,871268;0,6910556;1,769461;1,972631;0,6032555;0,9608934;0,3920055;0,7946084;0,8759407;0,6015994;0,4022375;0,378495;0,6489966;0,45331;0,5445628;0,6148913;0,7106699;0,4469337;0,6995656;0,6128143;0,5917702;0,3198083;0,4668478;0,7294041;0,5267132;1,026188;0,4507331;0,6049758;0,7805318;0,4423206;0,3712896;0,4618519;0,6392817;0,4738424;0,2959339;0,7112906;0,8382223;1,122427;0,6106145;0,7843334;0,2754882;0,7319623;0,7454995;0,5492178;0,440165;0,3704848;0,7924441;0,4707494;0,5397618;0,564972;0,6064289;0,4201706;0,6947461;0,6750274;0,5102704;0,3270584;0,4604044;0,7638703;0,4764969;0,9381113;0,4167868;0,6567228;0,8265929;0,4266244;0,3414147;0,4463594;0,6033552;0,4922053;0,392769;0,6031007;0,7846225;1,035944
D14;1,964393;1,211581;1,784187;1,834976;0,6351686;1,723579;1,928392;2,029345;1,231199;1,78421;1,656235;0,5709389;1,566876;1,792873;0,5713305;0,7897607;0,3537215;0,7070872;0,8907394;0,5640238;0,4295822;0,3756188;0,5969312;0,4307945;0,4959663;0,5902195;0,6466076;0,4450295;0,6041504;0,5544567;0,5751469;0,3097961;0,4499705;0,7247845;0,4932161;0,8919608;0,4198178;0,5751374;0,7235748;0,4331088;0,3389221;0,4371651;0,5758491;0,4718642;0,2659097;0,6268028;0,7881814;1,017026;0,5362932;0,7161368;0,2754196;0,7149291;0,7589549;0,5062578;0,4332637;0,3353238;0,613054;0,4357902;0,5178341;0,537343;0,5170531;0,3940508;0,5035413;0,6141714;0,4485841;0,293257;0,4534508;0,6917263;0,4137472;0,8626284;0,3568526;0,6247408;0,7313953;0,4171569;0,3164388;0,3985833;0,5217141;0,4388649;0,353578;0,5823972;0,7058999;0,943453
D15;2,112335;1,502316;1,99188;2,99788;0,8018902;2,289392;2,183227;2,218215;1,868592;1,989946;2,434743;0,9160907;2,25757;1,903146;0,736427;0,9527796;0,3843508;0,7477144;1,005207;0,6442481;0,4353938;0,406078;0,5357238;0,4316715;0,6907503;0,6683977;0,8700514;0,477749;0,6739373;0,5674443;0,5916575;0,4234956;0,6225116;0,7954891;0,5995405;0,7714739;0,4844783;0,5196672;0,8844647;0,5382888;0,4403761;0,3537518;0,8593625;0,4877481;0,5787254;0,7557439;1,06946;1,311413;0,6322106;0,9720545;0,3554418;0,7110446;1,180716;0,6284363;0,3808529;0,4744439;0,5525644;0,4112039;0,6968825;0,5615289;0,6665812;0,4969664;0,8726745;0,6258395;0,491139;0,4004994;0,5006082;0,7398672;0,5371976;0,7234659;0,4512962;0,4991991;1,112134;0,4407087;0,4512713;0,3293676;0,8885038;0,4765552;0,5169504;0,9618013;1,083196;1,163508
D16;1,86718;1,572271;1,903629;2,211427;0,7721198;1,983157;2,238108;2,113459;1,672552;1,9219;2,21457;0,8139123;1,792316;1,841045;0,5861659;0,8713858;0,4080161;0,6483148;0,9458601;0,5963153;0,4127666;0,3638913;0,6022589;0,3611716;0,6714606;0,5802916;0,8038161;0,4378663;0,6264177;0,5571417;0,552165;0,3778915;0,568359;0,8130455;0,5680336;0,741351;0,4732484;0,488031;0,8801094;0,5123605;0,4547361;0,350728;0,7617057;0,4865144;0,5072193;0,7600641;0,9883234;1,343359;0,5715336;1,048474;0,3265632;0,6690851;0,9578296;0,5697058;0,3711488;0,4396644;0,5780418;0,3580178;0,7007336;0,5326052;0,6796589;0,4384512;0,7367338;0,646119;0,4986532;0,4192725;0,4730998;0,7186313;0,5311067;0,812254;0,4390981;0,4908176;0,8923189;0,4473625;0,4648461;0,3230096;0,8049569;0,4397334;0,4991157;1,003752;1,081112;1,183441
D18;2,074639;1,414205;2,12224;2,890137;0,7006216;1,77563;1,888472;2,745966;1,367718;2,048543;1,627636;0,6667776;1,500453;2,052313;0,6356364;1,009692;0,4513915;0,7790354;0,7374583;0,5466201;0,4605524;0,4710501;0,6252654;0,5406298;0,6100192;0,689681;0,6390202;0,4501598;0,751668;0,6313917;0,6935556;0,3904526;0,61179;0,7662576;0,672375;0,8689961;0,4214276;0,5895827;0,8336279;0,4865112;0,4819896;0,4925401;0,7230373;0,5488092;0,3704683;0,7856307;1,078869;1,194611;0,5951339;0,8764849;0,3680398;0,7988683;0,8727305;0,5874861;0,4417488;0,4548122;0,6869478;0,5457177;0,6114013;0,6507068;0,5837319;0,4438606;0,7936606;0,7013233;0,6099991;0,4046273;0,6014319;0,8020904;0,628493;0,9108375;0,2406136;0,6790212;0,7804585;0,4307876;0,4430849;0,5151785;0,7029404;0,499363;0,4458756;0,8321517;0,9550073;1,146087
D19;2,208162;1,520893;2,105575;3,065842;0,7681044;1,93368;2,444686;2,451583;1,8374;2,257062;2,373834;0,785117;1,817181;2,173409;0,6554656;0,908479;0,3968028;0,7424249;0,8270031;0,5856831;0,4680461;0,406309;0,6448183;0,4933369;0,6070897;0,6724347;0,7500965;0,4561044;0,6790424;0,531338;0,5473628;0,3399734;0,4887333;0,8144263;0,5306395;0,8629398;0,4096654;0,5566625;0,7337235;0,4885682;0,4252868;0,4439863;0,6652423;0,4886438;0,4186716;0,5773967;1,072276;1,089071;0,5958071;0,8093089;0,3959778;0,7002064;0,6775356;0,573432;0,4595215;0,4277957;0,6517361;0,4996523;0,6044948;0,5788283;0,654112;0,4986977;0,6729293;0,5608382;0,5750389;0,3787157;0,5542384;0,8053008;0,5392549;0,8577172;0,4074262;0,5839666;0,8565385;0,441499;0,4047644;0,3986102;0,7003041;0,5244238;0,38572;0,7166363;1,021522;1,084217
D2;2,206481;1,144079;1,965612;2,348155;0,6838478;1,638944;2,319502;2,349652;1,205249;1,919606;2,15631;0,6994128;1,697419;1,728134;0,4715012;0,7862745;0,3349757;0,6622744;0,6446871;0,472334;0,3827351;0,3458007;0,5883432;0,3673758;0,6055569;0,5376096;0,740689;0,385106;0,5513854;0,4695029;0,5783362;0,2258348;0,4362827;0,5888586;0,458958;0,737492;0,4433926;0,5080174;0,8308808;0,4471808;0,4125451;0,3471499;0,5425978;0,39325;0,4240595;0,6268886;0,9592058;0,9747501;0,5303798;0,7543181;0,3047582;0,6137196;0,7234963;0,4376128;0,3567625;0,3662846;0,5541099;0,3656696;0,5813798;0,4983148;0,6077765;0,4168419;0,6583564;0,5128927;0,6119573;0,3812317;0,4436194;0,5779352;0,4168256;0,6959238;0,3717779;0,5323329;0,8164606;0,3902605;0,3689235;0,37386;0,5563181;0,3931455;0,4328603;0,6743448;0,8022846;0,9364972
D20;2,107164;1,602221;2,101188;2,641843;0,7429458;1,794843;1,804571;2,400331;1,787019;2,250884;2,476944;0,7761807;1,830387;2,203206;0,5654003;0,8438973;0,3555437;0,6543468;0,7965489;0,5567996;0,4501347;0,4180935;0,670653;0,4276758;0,5660952;0,5939938;0,7332653;0,4093146;0,619801;0,5146434;0,5494362;0,3592251;0,4804893;0,7203131;0,4943474;0,8480441;0,3767126;0,5902121;0,7858877;0,4625038;0,4014811;0,4018288;0,6151617;0,4827788;0,4380979;0,5403038;1,001772;1,044723;0,6743239;0,8553046;0,4014987;0,7011125;0,5109389;0,5465005;0,4461016;0,452395;0,5679191;0,4426114;0,6149828;0,5136465;0,6903375;0,5194784;0,5672664;0,5530764;0,6006833;0,3977675;0,5741074;0,7701244;0,5067055;0,828998;0,3869355;0,6106234;0,783563;0,4780697;0,393322;0,3726394;0,7431629;0,5379933;0,3878145;0,718829;0,9754506;1,151054
