id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,141911;1,315524;2,053841;2,516761;0,7096485;1,977195;2,076413;2,293191;1,381506;2,061786;2,588794;0,7348461;2,047772;1,997316;0,5178164;0,8078256;0,3419331;0,5727797;0,7679962;0,5445352;0,3859114;0,4075522;0,5795491;0,3808249;0,6499978;0,5593052;0,7806466;0,4228915;0,6377781;0,5255354;0,505393;0,2989647;0,4234703;0,5517983;0,4633221;0,744382;0,4472397;0,5113678;0,8582908;0,4614844;0,3911532;0,3557541;0,5929114;0,388365;0,4473158;0,75617;0,7603584;1,035601;0,5260586;0,727531;0,314198;0,5901845;0,9095116;0,5087964;0,3455152;0,4184938;0,5210126;0,3479643;0,6109705;0,5217402;0,6582806;0,4405798;0,7066968;0,546503;0,4562226;0,3647426;0,4121937;0,5887225;0,4350984;0,7219188;0,3827127;0,5355703;0,8518867;0,399495;0,3816986;0,3605805;0,5955273;0,4053731;0,5137749;0,8878645;0,6731268;1,014957
D10;2,330926;1,887893;2,779735;2,986776;0,9472737;2,658362;2,757587;2,733753;1,905013;2,790958;2,539218;0,9865378;3,076323;2,297906;0,7706063;1,183875;0,3731571;0,7672812;0,8735957;0,5842236;0,471105;0,5054355;0,7636532;0,5699691;0,8017255;0,7568135;0,9384356;0,5986696;0,7209132;0,711048;0,5861599;0,4595572;0,5800356;1,039073;0,6678075;0,9117466;0,5526359;0,6995346;1,098459;0,4760831;0,5260982;0,4766462;0,8388624;0,570236;0,6518947;0,9617351;1,124084;1,355705;0,7215862;1,006421;0,3223489;0,8247173;0,8072862;0,6350403;0,4970955;0,4957884;0,7430642;0,5785528;0,7848539;0,6958433;0,8325302;0,6194801;0,735952;0,7297143;0,6088653;0,4331966;0,5513641;0,9315412;0,64216;0,9677737;0,4651859;0,7188951;1,200625;0,4526907;0,4861304;0,4884788;0,9113933;0,5872307;0,5649338;0,9530967;1,112135;1,304498
D11;2,056737;1,835497;2,456895;2,86295;0,560888;1,881203;2,213427;2,383191;1,930979;2,507454;2,544204;0,5272742;1,675305;2,263419;0,6170348;0,9087226;0,3970476;0,6743761;0,7470684;0,5401854;0,3939522;0,4214245;0,5986187;0,4859645;0,7657907;0,6604441;0,8498546;0,4602719;0,7632745;0,4998416;0,6683347;0,4727208;0,6494633;0,9238973;0,5784619;0,7646396;0,461301;0,4785043;0,8860095;0,6021244;0,4403269;0,2805735;0,6896227;0,4411646;0,6580238;0,7925005;0,9611147;1,138593;0,5944795;0,8381283;0,3675914;0,5863561;0,8344858;0,5377871;0,3502727;0,4668098;0,4886849;0,4464886;0,7259639;0,6073052;0,7165665;0,41548;0,6738739;0,4593369;0,6080251;0,4700096;0,6161654;0,8378529;0,4750298;0,7415017;0,3966866;0,3960528;0,9073852;0,5317739;0,4346747;0,2337763;0,6823257;0,4606728;0,5410151;0,8544307;0,8970794;1,065447
D12;2,254256;2,005375;2,60271;2,890405;0,6232754;1,834522;2,440849;2,575719;2,110429;2,573477;2,512618;0,6328707;1,833012;2,135974;0,5995464;0,943177;0,4752311;0,7400688;0,713442;0,5201031;0,441249;0,4314697;0,6473993;0,5087522;0,7648871;0,6862037;0,7744618;0,4080632;0,7426436;0,611484;0,6288744;0,5463122;0,6350441;0,9205085;0,600708;0,8837527;0,5072662;0,5563831;0,86419;0,5840567;0,5073956;0,368375;0,6139763;0,4828149;0,4971026;0,8660806;1,028958;1,205873;0,4955743;0,8143254;0,4258472;0,6290646;0,9305396;0,5095257;0,4043631;0,4244487;0,6075904;0,4965424;0,7277191;0,5977223;0,678762;0,4321837;0,615391;0,6051033;0,5703094;0,4952031;0,6048481;0,8682105;0,5207257;0,8981742;0,4564993;0,4919501;0,914199;0,5211248;0,4636892;0,3278057;0,5875808;0,4958906;0,4955862;0,8593645;0,9372681;1,076336
D13;1,837341;1,392078;1,937881;1,744823;0,6831221;2,248587;2,417444;2,034857;1,436042;1,928889;1,571973;0,6755034;2,097095;2,043185;0,6143139;0,8912538;0,3869526;0,8117653;1,021289;0,659994;0,4141333;0,4289843;0,6658272;0,498204;0,57025;0,6581994;0,7349211;0,4884845;0,7467513;0,6397689;0,611661;0,3321103;0,4870021;0,7422233;0,5609176;0,9922689;0,4631466;0,6198451;0,7776094;0,4457671;0,3722001;0,4838659;0,6961406;0,482377;0,3252214;0,8847026;0,8166705;1,115402;0,6471063;0,7580683;0,3061277;0,7600348;0,8799673;0,6096518;0,4549575;0,405151;0,7444472;0,5118845;0,5589609;0,6095708;0,583171;0,4502603;0,8068956;0,7113573;0,5001304;0,3445081;0,471245;0,7935096;0,4974069;0,9306534;0,4114812;0,6658395;0,8029505;0,4225273;0,3429284;0,4604877;0,6338425;0,4963584;0,4176676;0,7834754;0,7696492;1,021273
D14;1,726454;1,354409;1,879328;1,588891;0,5666312;1,927318;1,987693;1,820848;1,366979;1,862859;1,415807;0,5951096;1,893227;1,593929;0,61452;0,8460109;0,348139;0,7350034;1,007194;0,6145699;0,4370269;0,4111912;0,6212181;0,4705713;0,511976;0,6261324;0,6683694;0,4861778;0,6636606;0,5994376;0,5909104;0,3226621;0,4659293;0,749323;0,5259315;0,9090646;0,4341211;0,5946438;0,7412362;0,441381;0,3518436;0,4641873;0,6319323;0,4878287;0,3031074;0,7788289;0,8158846;1,028284;0,5841911;0,7391326;0,2611871;0,7619565;0,8616128;0,5574477;0,4386114;0,3650242;0,6225576;0,4727612;0,5263569;0,5634988;0,545827;0,4210501;0,6175461;0,6526242;0,4495158;0,2984713;0,4740193;0,7212103;0,4356078;0,8802402;0,3686378;0,649;0,7760115;0,4060341;0,329069;0,4276911;0,577418;0,4376531;0,3904864;0,7575431;0,732298;0,9787838
D15;1,915668;1,663925;2,043646;2,41377;0,8104424;2,113484;1,946326;2,105241;2,037714;2,129861;2,12048;0,8246008;2,088693;2,019874;0,7340416;0,9267898;0,3955357;0,7836852;1,099368;0,6764404;0,4648267;0,442341;0,5789909;0,5048541;0,7395581;0,7176915;0,8932257;0,5089806;0,764083;0,5794556;0,6216267;0,4544385;0,6666153;0,8511497;0,6268495;0,7996056;0,4790668;0,5358525;0,8783645;0,5702995;0,461381;0,3828473;0,8317311;0,5188026;0,6055369;0,8307395;1,085002;1,163192;0,6320248;0,9983234;0,3773365;0,7612613;1,186077;0,691326;0,4028999;0,4920255;0,5985879;0,4805468;0,7480098;0,6046804;0,6931702;0,5134124;0,9961639;0,6481211;0,5103194;0,4338819;0,5143039;0,7728884;0,5668432;0,7443908;0,4515727;0,5262758;1,038211;0,4672024;0,4672742;0,3550788;0,8467001;0,4872341;0,5610497;1,077083;1,078089;1,138792
D16;1,740081;1,636616;1,933603;1,980544;0,7082878;1,974367;1,970544;2,012547;1,876956;2,039572;1,878694;0,7706264;1,813991;1,821551;0,5949428;0,8847241;0,4263941;0,6905172;1,107957;0,622591;0,4410548;0,3961649;0,6197066;0,4295242;0,7113222;0,6337847;0,8342215;0,4753972;0,6479559;0,5622482;0,5730049;0,4164409;0,6024647;0,8527029;0,5850423;0,7823001;0,4770691;0,5182981;0,8805361;0,5363322;0,4754399;0,3706609;0,7220093;0,4998965;0,5576198;0,7982366;0,9862365;1,121686;0,5741539;1,016777;0,3511046;0,7077317;1,079406;0,6340919;0,3953756;0,4710533;0,6282591;0,4208792;0,7281376;0,5696349;0,6772565;0,4707977;0,8494898;0,6661602;0,5180725;0,4530821;0,5069288;0,7433782;0,5485587;0,7862023;0,4471739;0,5124466;0,8971834;0,4747308;0,4797578;0,3426256;0,7568482;0,4477976;0,5432814;1,048502;1,061847;1,054098
D18;1,617681;1,662822;2,323558;1,801606;0,729124;1,809378;2,031768;1,723494;1,691448;2,23807;1,486957;0,6439406;1,62151;1,922395;0,7008467;1,071859;0,4785241;0,8356623;0,82445;0,6360791;0,5011268;0,5131923;0,6916594;0,589035;0,6640584;0,740318;0,6926694;0,50027;0,8264516;0,6883595;0,6879601;0,4033336;0,6439191;0,7894868;0,7475467;0,9316569;0,5502167;0,6343513;0,9001894;0,523162;0,5122952;0,5541544;0,7836727;0,6052206;0,4337272;0,9151141;1,068579;1,216587;0,6454242;0,9393033;0,3960329;0,8530836;0,9735656;0,6738194;0,4672794;0,5115295;0,7528718;0,5732937;0,6657863;0,6981478;0,6339436;0,4883112;0,887992;0,7825061;0,600679;0,4512638;0,6462735;0,8297377;0,6982251;0,9614028;0,4842047;0,7224496;0,8592471;0,46779;0,4699238;0,5750933;0,7636878;0,5390383;0,4739658;1,015004;0,9438531;1,209384
D19;1,853705;1,738175;2,268409;2,61001;0,6821221;2,26239;2,002799;2,021447;2,101859;2,321972;2,195553;0,7090034;2,151842;2,125242;0,7186593;0,9794522;0,4036867;0,8226252;1,018182;0,6826216;0,5093527;0,4641137;0,6815113;0,5619305;0,6346335;0,7580081;0,7961161;0,5094473;0,7237593;0,5973737;0,5684773;0,3640657;0,531697;0,8674503;0,5936459;0,9365693;0,4286515;0,6128877;0,7791723;0,5278616;0,4483484;0,5068254;0,7535444;0,5217204;0,4740676;0,7783849;1,094981;1,121913;0,6632924;0,8886334;0,4134797;0,7565255;0,8068008;0,6901851;0,5014877;0,4929732;0,7089465;0,5641014;0,6549557;0,6416833;0,6855096;0,5570669;0,7265563;0,6221578;0,6062693;0,4024301;0,589861;0,8351676;0,6037178;0,9258455;0,4343469;0,6430539;0,9274953;0,4813248;0,4319149;0,4591638;0,783253;0,5661102;0,4269422;0,9362934;1,080829;1,160281
D2;2,024028;1,230192;2,020606;2,348036;0,6749005;1,879715;2,288881;2,182802;1,290365;1,96489;2,241256;0,6763237;1,977641;1,911749;0,4849006;0,7298519;0,3503499;0,664169;0,7406276;0,5126463;0,4020275;0,3839058;0,581061;0,3985918;0,6118457;0,5560848;0,7628849;0,4151345;0,6043305;0,5041632;0,4679074;0,3258703;0,4303227;0,5781046;0,4801626;0,7563745;0,4280694;0,5116267;0,80598;0,4554482;0,4016726;0,3634871;0,5724397;0,3953724;0,4471321;0,7684798;0,7399538;0,9745004;0,5231012;0,6837059;0,3184978;0,6138786;0,8581205;0,4705565;0,3670542;0,3954359;0,5283903;0,382144;0,596386;0,5095072;0,6200667;0,4395195;0,6932188;0,5340424;0,4895035;0,3917208;0,4255081;0,5793887;0,4355694;0,707776;0,3595228;0,5422844;0,7490361;0,3881533;0,3695884;0,3829256;0,5737385;0,3941773;0,4446338;0,826734;0,7492745;0,9378125
D20;1,927505;1,737216;2,117426;2,578421;0,6405648;1,874445;1,845777;2,121579;1,948904;2,276859;2,361929;0,6752348;1,776395;2,192102;0,5808368;0,8879938;0,3669024;0,7028998;0,8881258;0,6140415;0,467611;0,4532646;0,6811931;0,4832627;0,592693;0,6380576;0,7302292;0,4418876;0,6637281;0,5515184;0,5711361;0,3715794;0,5107109;0,7479012;0,5187913;0,8383375;0,3887881;0,6171707;0,7833181;0,4872851;0,4194738;0,4307311;0,6242353;0,4896284;0,453366;0,6191772;0,9592086;1,039562;0,6796918;0,8450523;0,4113868;0,7259116;0,6091088;0,5895595;0,4658246;0,4784108;0,6188707;0,4855266;0,6297702;0,545794;0,6800945;0,5478759;0,6544594;0,5803039;0,6165853;0,4124706;0,593402;0,8009069;0,5373231;0,8540725;0,3989834;0,6301513;0,8162921;0,4966606;0,4053048;0,4047123;0,7431204;0,5443565;0,4182516;0,8027985;0,9670116;1,09501
D21;2,1021;1,675029;2,163237;2,10901;0,7921815;2,277618;2,218784;2,428101;1,801896;2,265726;1,861298;0,7811295;2,140892;2,174434;0,7142936;0,8920624;0,4688678;0,8830179;1,382239;0,6990189;0,4681598;0,4260477;0,6025832;0,6278078;0,666023;0,7924406;0,6428385;0,5224402;0,8185889;0,7234291;0,5784471;0,5102527;0,6286418;1,084231;0,6944869;0,8053582;0,5376124;0,583115;0,7815419;0,5678883;0,4727931;0,4731524;0,7834191;0,5643456;0,5553834;0,834594;1,093866;1,043554;0,6643848;0,7664979;0,3894503;0,7507829;1,083607;0,7630332;0,4086177;0,433654;0,6094928;0,5542988;0,6530965;0,7360957;0,6168425;0,4986479;0,8359102;0,7658476;0,4984859;0,4850111;0,4739423;0,9935616;0,5897419;0,8348774;0,4949222;0,6036737;0,7925529;0,4667692;0,4508997;0,44369;0,7930807;0,4681447;0,5268432;1,046006;1,113606;1,073117
