id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D2;2,034569;1,255517;2,023584;2,353696;0,6807274;1,879121;2,285276;2,204808;1,298529;1,963103;2,262181;0,6773996;1,969384;1,934825;0,4894574;0,7311867;0,3560261;0,6686553;0,742681;0,5118263;0,4060762;0,382811;0,5826486;0,3980662;0,6120364;0,5561754;0,7644034;0,414563;0,6102857;0,5046749;0,468999;0,3245331;0,4315176;0,5803481;0,4832026;0,7561024;0,4331409;0,5173417;0,8145308;0,4589366;0,40695;0,3674629;0,5769371;0,3999293;0,4526297;0,7638218;0,7465552;0,97707;0,5255843;0,6857912;0,3235704;0,6163626;0,8345273;0,4682208;0,3725431;0,3915482;0,5254487;0,3816103;0,5952819;0,5111728;0,6232117;0,4432259;0,68318;0,5387998;0,4923267;0,3894016;0,4321127;0,5820527;0,4453208;0,7116281;0,3648868;0,5471599;0,7549726;0,3965698;0,3744732;0,3890381;0,5760427;0,3991085;0,4486585;0,8165312;0,7577895;0,9452273
D20;1,929419;1,723194;2,116294;2,577509;0,642809;1,848716;1,786879;2,107741;1,952153;2,272043;2,352552;0,6744914;1,768316;2,165013;0,5789429;0,8912132;0,365262;0,7008074;0,8746172;0,6113845;0,4689238;0,4525823;0,673583;0,4886564;0,58887;0,6353271;0,724147;0,4448756;0,651737;0,5534713;0,5732299;0,3647852;0,5193255;0,7474245;0,5198836;0,8374861;0,3866221;0,6176783;0,7818099;0,4860667;0,4180201;0,4320322;0,6246107;0,4921396;0,4441317;0,60108;0,9631376;1,035569;0,6802779;0,8434076;0,4106364;0,726238;0,6177186;0,5875225;0,4651177;0,4734292;0,6158858;0,4870517;0,6209951;0,5472972;0,672569;0,5420879;0,6561383;0,5782436;0,61319;0,3901524;0,5865642;0,8016136;0,5343637;0,8465679;0,3953627;0,628052;0,802831;0,4921074;0,4026881;0,403849;0,7404955;0,5418277;0,4079281;0,8067639;0,9716663;1,089941
D21;2,11302;1,676782;2,178407;2,125779;0,8000806;2,309354;2,214809;2,435212;1,83147;2,267154;1,877057;0,7816816;2,151313;2,188112;0,7202647;0,9094819;0,4780932;0,8866263;1,37006;0,7006426;0,4744368;0,4276212;0,6077154;0,6268146;0,6689557;0,7952474;0,6426313;0,5276582;0,8271286;0,7257001;0,5853205;0,519876;0,6414992;1,092263;0,7043099;0,8074241;0,5432277;0,5912058;0,7884697;0,5740291;0,4783053;0,4800943;0,7916764;0,5726186;0,5509512;0,8336252;1,093805;1,04593;0,6686218;0,761346;0,3950392;0,7517741;1,07765;0,7544559;0,4125068;0,4247315;0,6141342;0,5466398;0,6512073;0,7332175;0,6129065;0,4966653;0,8354397;0,7775596;0,4989897;0,4730789;0,4669546;0,9935901;0,5955744;0,8321711;0,5018254;0,6079215;0,7937915;0,4693809;0,4588646;0,44814;0,7908526;0,4742251;0,5378796;1,048448;1,097208;1,081729
D22;2,062927;1,70256;2,052518;1,918291;0,7687945;2,115529;2,416771;2,341155;1,763021;2,107115;1,975825;0,6866315;2,194825;2,059081;0,6789122;0,8945615;0,4854046;0,7915313;1,287104;0,6479814;0,4509418;0,3892474;0,6004927;0,6375178;0,6005339;0,7278543;0,5878263;0,5003869;0,720749;0,720259;0,576517;0,4014993;0,6579956;1,021531;0,6907154;0,849549;0,5727552;0,5660309;0,7072375;0,5354048;0,4642606;0,4550708;0,7216967;0,5460897;0,4235426;0,7582583;1,081045;1,051091;0,6002494;0,726453;0,3657307;0,7947278;1,02796;0,6550227;0,405409;0,387993;0,6297685;0,5770758;0,6178864;0,677183;0,5540431;0,4775369;0,7807233;0,7304217;0,4802132;0,3925435;0,4849883;0,9774192;0,5830075;0,8874556;0,4648924;0,611119;0,7428104;0,4599938;0,4375937;0,4286903;0,6801851;0,4634804;0,3888405;0,7732175;1,039884;1,021009
D23;1,893671;2,08684;2,420166;3,126052;0,9091066;2,036497;2,226725;2,094613;2,165472;2,571128;2,161983;0,7670053;2,035584;2,044742;0,7709546;1,152154;0,4926842;0,9465035;1,010155;0,6852531;0,5322146;0,467195;0,7148891;0,6678274;0,7749909;0,8090312;0,9325751;0,5651411;0,7753452;0,7335102;0,7367873;0,4677269;0,6799967;1,18238;0,6532706;0,9362144;0,518108;0,6873406;1,031176;0,5595414;0,5306256;0,52056;0,844361;0,5570569;0,5829831;0,7838818;1,26855;1,372777;0,7461121;1,044976;0,4028755;0,6676037;0,8900766;0,6222705;0,4611722;0,450933;0,72258;0,5698637;0,7362317;0,7232228;0,7909374;0,5023608;0,9481245;0,8679171;0,5941904;0,3955775;0,5080313;1,085471;0,58622;1,017665;0,4344435;0,6628562;1,00318;0,4655783;0,5105524;0,4759285;0,7891475;0,5245329;0,5730272;0,8736801;1,219346;1,274697
D24;1,728159;1,885378;2,187778;2,672398;0,8190296;2,01902;1,742805;1,909765;1,927793;2,22618;1,81259;0,7668056;1,996567;1,680145;0,7328657;1,08937;0,5023482;0,9099455;1,033656;0,6637863;0,5043987;0,4540945;0,7543095;0,5997587;0,6791543;0,7667364;0,7225706;0,5353764;0,7320692;0,7715549;0,7073493;0,4806521;0,6395048;1,060034;0,6816471;1,103856;0,5478002;0,7235253;0,9005932;0,5528429;0,5494308;0,5152933;0,7890264;0,5703999;0,4018554;0,8160769;1,250835;1,29346;0,6257471;1,049523;0,4437874;0,7416352;0,9293865;0,5972337;0,4961809;0,4208982;0,7321431;0,5567439;0,6537173;0,6792783;0,6552465;0,4475211;0,8428571;0,8676967;0,6468708;0,457132;0,5726395;0,980551;0,6396379;1,107105;0,4890711;0,7099617;0,9282582;0,4965063;0,5199465;0,5259752;0,7001228;0,5514546;0,4013226;0,8222539;1,174969;1,176423
D25;2,055002;1,843111;2,335372;2,33649;0,6699039;1,785833;2,283751;2,272613;1,920484;2,403336;2,040261;0,6506369;1,817988;2,154764;0,6581048;0,8475205;0,3372724;0,7031107;0,7788906;0,6013015;0,4296391;0,4495048;0,5964698;0,4887296;0,6270657;0,6122249;0,7294204;0,5038201;0,6188406;0,5999648;0,4622908;0,3946546;0,4589002;0,6400379;0,5519414;0,8132688;0,3997048;0,5912947;0,730363;0,4663513;0,4395069;0,4303853;0,7112393;0,4568103;0,5039769;0,7964382;0,943779;1,073546;0,6475531;0,7933725;0,2859367;0,6549483;0,7770151;0,6047083;0,4230516;0,467037;0,5968631;0,402641;0,675861;0,5391247;0,6214579;0,5324775;0,6470704;0,6325528;0,4704709;0,4475515;0,4827583;0,5797663;0,5438153;0,8080126;0,3674657;0,5737354;0,8194995;0,4223602;0,4281325;0,4115159;0,6917523;0,4633701;0,444623;0,7986252;0,9950071;1,025063
D26;2,050111;1,988101;2,344171;2,475017;0,6733191;1,906097;2,220949;2,235011;2,004757;2,383544;2,225761;0,6839603;2,116982;1,94468;0,5994704;0,7853561;0,3629399;0,7714068;0,9214112;0,6006154;0,4340427;0,4737056;0,6561638;0,5300843;0,6139409;0,6191327;0,6886784;0,4992987;0,5963768;0,5542637;0,5100072;0,3871796;0,5332974;0,6569459;0,5714128;0,8270027;0,4196428;0,5853466;0,7564852;0,4745501;0,431086;0,4364428;0,7221899;0,4609521;0,4867391;0,8581972;1,024562;1,149707;0,60916;0,8039167;0,2554573;0,6983338;0,8390846;0,5708349;0,4368765;0,4292847;0,7092875;0,493481;0,6020729;0,606582;0,6215135;0,523705;0,6809189;0,6244445;0,4588746;0,3446806;0,523905;0,6281673;0,5243679;0,8232452;0,3382702;0,6088994;0,8039805;0,4495849;0,4087044;0,4337712;0,7268655;0,4509506;0,5650126;0,8669855;0,9452701;1,023605
D27;1,708508;1,649923;2,04143;2,343277;0,6285981;1,775823;1,810439;1,83346;1,63828;2,089758;2,069796;0,6218714;1,851906;1,852317;0,6918638;1,028302;0,4476146;0,7009883;0,8510368;0,5831794;0,4670347;0,4039045;0,6528281;0,4996877;0,744885;0,4874088;0,7332441;0,5098621;0,681711;0,7638011;0,6464809;0,3839147;0,6062198;0,6870009;0,6538926;0,8943577;0,5063938;0,5987429;0,8254472;0,5621803;0,4573668;0,481749;0,7738443;0,4976502;0,4329966;0,9000329;0,9087639;1,166732;0,5933622;0,7863734;0,4591404;0,8087294;0,766096;0,5662994;0,4637623;0,3879566;0,5609381;0,4383473;0,6628048;0,5496239;0,6038966;0,444281;0,6696098;0,7024228;0,6543219;0,4137962;0,5681636;0,7152191;0,6638535;0,9046336;0,4908773;0,5910472;0,7527273;0,5591441;0,421286;0,4724664;0,7791687;0,5351589;0,4301241;0,7636572;0,8609417;1,1043
D28;1,702185;1,633331;2,025244;2,318345;0,6307283;1,760252;1,780501;1,821263;1,638008;2,067534;2,063631;0,6232416;1,847069;1,836294;0,682956;1,022603;0,4401399;0,6930736;0,8541256;0,5830747;0,456327;0,3974426;0,6620716;0,4875837;0,7438143;0,4868804;0,7298105;0,4994258;0,6885287;0,7583584;0,6386447;0,3775673;0,5952738;0,6794401;0,6455428;0,8911102;0,494522;0,5924573;0,82501;0,5503811;0,4472741;0,4740062;0,7642913;0,4868868;0,4282864;0,8941216;0,902928;1,164378;0,5754789;0,7860844;0,4518235;0,7982206;0,7675909;0,557367;0,4565574;0,3762299;0,5611354;0,4275296;0,6541443;0,546754;0,60142;0,4324453;0,6586955;0,6877222;0,6450195;0,3876839;0,5503343;0,7064868;0,653279;0,8977327;0,4819094;0,5803881;0,7461103;0,5422462;0,412433;0,462625;0,7654558;0,5227663;0,4197856;0,7572004;0,8680929;1,092019
D29;2,152305;2,0828;2,468647;2,722669;0,8694517;2,433097;2,461337;2,260051;1,963459;2,440829;2,763954;0,9130346;2,508915;2,542931;0,7087064;0,9905565;0,5164188;0,9724607;1,117227;0,6081411;0,5397652;0,4067142;0,7080037;0,6103224;0,7906717;0,7260926;0,8374782;0,5338682;0,7594494;0,7781569;0,789309;0,4864419;0,7117926;0,8167768;0,843885;0,9108461;0,6329913;0,7050836;0,9932528;0,5688699;0,5756394;0,5641752;0,8431231;0,6924857;0,4857135;0,9984101;1,085171;1,362925;0,6338106;0,9740265;0,4055158;0,910983;1,166789;0,613788;0,5155013;0,4076446;0,673285;0,5653486;0,6804889;0,7555277;0,7349049;0,5041548;0,8321539;0,7513145;0,5911707;0,4354496;0,6661928;0,8771028;0,7410882;0,9380212;0,5392219;0,7074729;0,9540302;0,4695079;0,5311792;0,5479477;0,8391662;0,611453;0,4609376;1,123574;1,018368;1,305262
D3;1,680628;1,651812;2,11185;2,857193;0,7497684;1,981813;2,796413;1,943466;1,578698;2,1925;2,638857;0,7072913;1,894662;2,170909;0,555085;0,9840964;0,3715459;0,6954332;1,174681;0,680231;0,4775217;0,5388373;0,5403798;0,5235007;0,6081749;0,6429819;0,6468217;0,5000947;0,9529291;0,6582657;0,5873395;0,5125074;0,5118457;0,9504696;0,5844467;0,7721057;0,4814199;0,5563354;0,7040292;0,420369;0,4091732;0,4322345;0,6949767;0,5220815;0,4273624;1,020789;0,9404573;1,050841;0,487561;0,7714681;0,3374451;0,6791466;0,9173635;0,6612384;0,4732797;0,4882529;0,5586272;0,4497028;0,5466339;0,6388219;0,530985;0,4867806;0,8619589;0,6599187;0,5316124;0,4701644;0,4628807;0,8214264;0,5979079;0,7918558;0,4925713;0,5620792;0,7507379;0,3776477;0,3889514;0,4262763;0,6930742;0,5643095;0,4322163;0,9949272;0,9336;0,9858941
