id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,059621;1,24682;2,011212;2,43049;0,6877292;1,961399;2,107827;2,203236;1,299972;2,022441;2,512675;0,7143647;2,071741;1,950102;0,4982594;0,7854124;0,3082403;0,5382041;0,7801962;0,5410594;0,3532501;0,4030367;0,5694239;0,376085;0,635997;0,5513975;0,7624846;0,4161499;0,6579731;0,495603;0,4726229;0,291341;0,4078521;0,5302155;0,4313264;0,7377822;0,4134434;0,475865;0,8266134;0,4299559;0,3588839;0,3171342;0,567245;0,3579958;0,424172;0,7600292;0,7288747;1,009473;0,5034785;0,7100734;0,2724942;0,542015;0,9130261;0,5143094;0,3182359;0,4201901;0,5099969;0,3417043;0,5999447;0,5145457;0,6348007;0,4255912;0,7218551;0,5161344;0,438217;0,36565;0,3890062;0,5684439;0,3970143;0,7055657;0,3481589;0,5012174;0,8236877;0,369375;0,3487268;0,3192865;0,5695439;0,3705243;0,4794217;0,8842806;0,6483864;0,9824276
D10;2,214188;1,80053;2,688036;2,754291;0,8998922;2,599523;2,718776;2,581985;1,802916;2,707253;2,320485;0,9354974;3,036284;2,311126;0,7300417;1,13933;0,3178595;0,7009397;0,9251275;0,577473;0,4071544;0,4933751;0,7336281;0,5307;0,7818214;0,7457367;0,9017475;0,5735492;0,7628388;0,6474772;0,5449494;0,4344466;0,542952;0,969259;0,6048383;0,8897523;0,4995881;0,6471439;1,051772;0,4331414;0,4777086;0,4088734;0,7950154;0,5134582;0,6093387;0,9517668;1,057749;1,302586;0,6889396;0,9860398;0,2628875;0,7348894;0,8374737;0,6261428;0,4367837;0,4903677;0,7155098;0,557535;0,7609545;0,6931473;0,7950148;0,6003756;0,768792;0,6564685;0,5673649;0,429547;0,5135812;0,8871309;0,5715238;0,9449288;0,4114336;0,6645005;1,146839;0,4113247;0,4386449;0,4155373;0,8687474;0,5366861;0,5346151;0,933849;1,073325;1,248172
D11;1,995386;1,780157;2,410031;2,808349;0,5516071;1,861115;2,139452;2,30583;1,883095;2,460255;2,511013;0,5197828;1,646771;2,190976;0,5914317;0,8905435;0,3669917;0,6373839;0,7535601;0,5378374;0,37225;0,408689;0,5704988;0,4845934;0,7380347;0,6557462;0,8267092;0,4506088;0,7564841;0,4638566;0,6444683;0,4529366;0,6189078;0,9039003;0,5520686;0,7514152;0,4313762;0,447531;0,8579798;0,5751146;0,4129389;0,2481664;0,6695079;0,4154142;0,6284855;0,7803117;0,9326436;1,108967;0,5706126;0,8078634;0,3369666;0,5438415;0,8246106;0,5375619;0,3275028;0,4527509;0,4791903;0,4446332;0,7027844;0,6001433;0,6902064;0,4049255;0,6551602;0,4324834;0,5841477;0,4432085;0,5888013;0,8165813;0,4346481;0,7247077;0,365179;0,3616535;0,8732778;0,505595;0,4061775;0,2012662;0,6586691;0,4372401;0,5070292;0,8296312;0,8723697;1,034086
D12;2,189328;1,963292;2,551922;2,817822;0,6130174;1,809012;2,377225;2,489918;2,036128;2,509383;2,453331;0,6206002;1,844228;2,101229;0,5762351;0,9218356;0,4414364;0,6888078;0,6877972;0,5241063;0,4122479;0,422286;0,6270652;0,5054791;0,737023;0,6817722;0,7466129;0,3996287;0,719048;0,5685641;0,6036079;0,5155312;0,6020074;0,9009882;0,5632216;0,8738335;0,4752483;0,5074173;0,8337668;0,5527994;0,4730133;0,3233156;0,5944404;0,4509957;0,4833731;0,8469943;0,9969869;1,171773;0,4709702;0,781782;0,3881245;0,5690912;0,9447876;0,5120034;0,3685676;0,4136373;0,5909994;0,4802718;0,698101;0,6067926;0,6516737;0,4115851;0,6289637;0,5645095;0,5440322;0,4717469;0,572651;0,8379621;0,4711762;0,8848091;0,4126233;0,4460793;0,8849814;0,4907729;0,4294907;0,2756088;0,5644112;0,4596504;0,4634834;0,849759;0,9251787;1,043444
D13;1,776938;1,346676;1,890831;1,680372;0,6672731;2,192217;2,392919;1,962303;1,378721;1,891097;1,514827;0,6590589;2,057097;2,048531;0,5863445;0,8769589;0,359468;0,7878919;0,9768299;0,6501665;0,3860132;0,4201567;0,6452818;0,4879334;0,5506956;0,6665248;0,7119563;0,472435;0,7365638;0,6018609;0,5904701;0,3094674;0,4651115;0,7150652;0,519713;0,980033;0,4390694;0,5908496;0,7502829;0,4214872;0,3491577;0,4486939;0,6711546;0,4528251;0,3110122;0,8718723;0,7884028;1,087552;0,6322349;0,740157;0,2726814;0,7199106;0,8744091;0,6034145;0,4258585;0,4051169;0,7202182;0,5081841;0,5463939;0,6122178;0,5654179;0,4405396;0,8207026;0,6740813;0,481237;0,3352583;0,4526489;0,7756438;0,4596742;0,9299187;0,3828678;0,6304202;0,7842133;0,3998924;0,317207;0,4278421;0,6095669;0,4667551;0,3945033;0,7811208;0,7535522;0,9916629
D14;1,680815;1,31365;1,8453;1,514021;0,5509891;1,896747;1,980307;1,77428;1,319856;1,826467;1,351457;0,574888;1,881028;1,586172;0,594406;0,8379662;0,3246616;0,7090641;0,9910014;0,5996908;0,4118585;0,407752;0,5986832;0,4627557;0,5020418;0,6224667;0,6522437;0,4723814;0,6515886;0,5644622;0,5717699;0,3125955;0,4509293;0,7299259;0,4976288;0,8936161;0,4119958;0,5690019;0,7179235;0,4211805;0,3306788;0,4332733;0,6141124;0,4625234;0,2957471;0,7799812;0,7980929;1,00401;0,5644549;0,7248847;0,2374127;0,742267;0,8506608;0,5534613;0,4141586;0,3630082;0,6065733;0,4684403;0,5210494;0,566349;0,5330886;0,4106083;0,6151843;0,6182056;0,4319452;0,2981685;0,4609806;0,7100742;0,3999949;0,8858355;0,3435403;0,6191321;0,7524468;0,3870302;0,30721;0,3969067;0,5552427;0,4122477;0,3680406;0,7441462;0,6967676;0,9581485
D15;1,825526;1,604883;1,979354;2,261235;0,776722;2,027202;1,882052;2,007186;1,976692;2,060353;2,030714;0,7978426;2,011534;1,998861;0,695497;0,9004467;0,362982;0,7310434;1,11113;0,6670761;0,4311646;0,4267925;0,5600008;0,4929369;0,7234361;0,6884076;0,8674435;0,4892218;0,7561101;0,5303946;0,5893745;0,4390788;0,6361078;0,8200155;0,5786988;0,7841513;0,4449877;0,4960134;0,8415708;0,5414475;0,4301595;0,3442599;0,8046309;0,4805825;0,57558;0,829573;1,063527;1,120986;0,607761;0,9928847;0,3475235;0,7134491;1,187253;0,6862518;0,3727434;0,4871597;0,5737059;0,4603501;0,7188043;0,5942737;0,6663769;0,5022291;0,9915233;0,6025414;0,4834182;0,4201406;0,4971021;0,7447387;0,5275453;0,74153;0,4128619;0,4892359;1,010816;0,4428551;0,4360863;0,3169351;0,8196895;0,4529317;0,518876;1,054384;1,060747;1,095392
D16;1,668375;1,599538;1,890384;1,845098;0,697132;1,954951;1,881379;1,953231;1,842703;2,002933;1,825649;0,7420895;1,764328;1,772479;0,5753954;0,8668867;0,3963404;0,6550761;1,126987;0,6234023;0,4122584;0,3870896;0,6069509;0,429411;0,6915345;0,635456;0,8116036;0,4605786;0,6669528;0,5227016;0,5471496;0,3962256;0,5699589;0,8243049;0,5446285;0,7721237;0,4428324;0,4843281;0,846629;0,5135193;0,450904;0,3397336;0,7010918;0,4655215;0,5374587;0,7983885;0,9836285;1,093415;0,5566063;1,004805;0,3261069;0,6765726;1,076206;0,6365913;0,3724511;0,4641629;0,6085893;0,4106137;0,7003755;0,567369;0,6525149;0,4651695;0,8203045;0,6260913;0,4944876;0,4346079;0,4892849;0,7332371;0,5172662;0,7792654;0,4163217;0,4784271;0,8749665;0,4518392;0,4544461;0,3091025;0,7373636;0,423907;0,5132504;1,009795;1,055719;1,026054
D18;1,57098;1,629448;2,285976;1,736605;0,7097763;1,797187;1,962916;1,675123;1,640122;2,194633;1,416799;0,6231616;1,593957;1,95239;0,6862618;1,060392;0,4548799;0,7971683;0,8222214;0,6288197;0,4705903;0,4970199;0,6875585;0,571795;0,6470896;0,7340629;0,6736842;0,4909874;0,8261869;0,6562125;0,6679615;0,3876658;0,6170213;0,7648972;0,7184164;0,9133606;0,5241904;0,6076718;0,8684739;0,5040211;0,4904528;0,525332;0,7675585;0,5818481;0,4339918;0,8932122;1,046748;1,191306;0,6269939;0,9139103;0,3764276;0,820689;0,9467219;0,6617223;0,4424213;0,5061464;0,7329328;0,55645;0,6454481;0,7009667;0,618016;0,4775089;0,8698878;0,7508155;0,5838116;0,4306155;0,6270466;0,8076319;0,6654473;0,9423833;0,4534882;0,6908407;0,8339222;0,4505295;0,4478218;0,5429993;0,7443279;0,5165777;0,4468394;0,9912316;0,9161982;1,183715
D19;1,802633;1,69369;2,228652;2,540828;0,6567422;2,241251;1,967144;1,964682;2,063056;2,278884;2,144465;0,6803962;2,150257;2,148396;0,6946178;0,9580674;0,384738;0,7930037;0,996221;0,6788706;0,4833702;0,4549166;0,6695139;0,5523556;0,6170535;0,7616612;0,7745711;0,4943576;0,7236363;0,5698855;0,5500515;0,3315194;0,5109762;0,8420554;0,5616623;0,9207847;0,4017965;0,5788594;0,7607039;0,5080024;0,4255901;0,4671439;0,7378038;0,4994327;0,4561017;0,7633906;1,073986;1,096592;0,6443266;0,8624087;0,3882638;0,7256149;0,7876694;0,6954252;0,476946;0,4777863;0,7187009;0,5511213;0,6350524;0,6609546;0,6637227;0,5460094;0,7455492;0,5836702;0,5847421;0,3773599;0,5660063;0,8109146;0,5666785;0,9019915;0,4026219;0,6053878;0,9098877;0,4605847;0,4093123;0,4241305;0,7595676;0,5381752;0,4216883;0,9203942;1,063827;1,133947
