id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,238593;1,253717;1,943557;2,808248;0,6888014;1,642416;1,952398;2,458339;1,265876;1,946618;2,668187;0,7017609;1,614219;1,903697;0,4887242;0,7905476;0,3278362;0,5193252;0,574164;0,4443688;0,3236768;0,325671;0,5493087;0,3194532;0,5934878;0,4960138;0,738327;0,3529577;0,5207277;0,4881345;0,4586276;0,2896678;0,3774218;0,5272995;0,4150368;0,6806944;0,4139447;0,4852005;0,8498812;0,4100278;0,3434686;0,3022916;0,5407815;0,3617656;0,3689535;0,560074;0,762676;0,991423;0,4833539;0,6886048;0,3022841;0,5395696;0,7863332;0,4220837;0,3121324;0,348373;0,5030103;0,290624;0,5578586;0,4670656;0,6191109;0,3858897;0,6144223;0,4959223;0,4015378;0,3400087;0,3366349;0,568797;0,3820992;0,7178411;0,323826;0,4915963;0,7975331;0,3461243;0,3555387;0,2893959;0,5385349;0,3796119;0,4444777;0,7025889;0,7675771;0,9720282
D10;2,50435;1,733395;2,686193;3,560937;0,9284847;2,681103;2,65356;2,98809;1,701453;2,66976;2,751057;0,9752594;3,060936;2,468966;0,759323;1,252056;0,2971323;0,7682857;0,7825136;0,5557987;0,4412212;0,4655572;0,7242116;0,5241562;0,7639134;0,7162206;0,9146598;0,5659473;0,6577922;0,6922829;0,5790301;0,4424578;0,5360763;1,027349;0,6612355;0,9099938;0,5614722;0,6713393;1,116227;0,4588975;0,5214291;0,4716661;0,8645395;0,5682673;0,5461398;0,8649726;1,151696;1,452836;0,7553828;1,048009;0,3197278;0,8221663;0,7192847;0,6012354;0,4799132;0,4554298;0,6875387;0,5275653;0,7627725;0,6664845;0,7878088;0,5920263;0,7035554;0,7482654;0,6317294;0,3957774;0,5325373;0,9160279;0,6440652;0,9844727;0,480672;0,6973043;1,175471;0,4397286;0,4873895;0,4818138;0,9296871;0,5928146;0,5506267;0,9405606;1,06541;1,398677
D11;2,136796;1,758251;2,462746;2,801463;0,6011967;2,147298;2,186752;2,506329;1,804731;2,453835;2,682574;0,5836764;1,591743;2,60853;0,6158574;1,010638;0,3355592;0,6788322;0,7852979;0,5195856;0,2877805;0,3823885;0,4538433;0,4523735;0,7082887;0,6338508;0,8353513;0,4181798;0,7618977;0,48932;0,6349265;0,432569;0,5848934;0,8856099;0,5592726;0,7956957;0,4695994;0,480345;0,8785065;0,5716435;0,4224584;0,2673425;0,6795839;0,4349949;0,6601546;0,7369397;0,9837623;1,211862;0,6001064;0,8593552;0,3520224;0,6837222;0,7457416;0,5388722;0,255635;0,467367;0,4662854;0,4171665;0,7068003;0,5931737;0,6650929;0,3814087;0,6355873;0,450093;0,6128771;0,4285384;0,6143716;0,8535259;0,452449;0,7122994;0,4228825;0,3815817;0,940156;0,5094197;0,4107969;0,2303492;0,7069933;0,4573943;0,4947764;0,8859578;0,9735207;1,154585
D12;2,619541;1,839502;2,530188;2,823783;0,6490232;1,70191;2,643709;2,787509;1,981267;2,453193;2,84779;0,6281875;1,744114;2,137717;0,602612;0,8962491;0,4431925;0,7726205;0,6302479;0,4639194;0,3804333;0,3621461;0,6115511;0,4584977;0,7249227;0,643597;0,7499637;0,3417733;0,6847146;0,5889589;0,5886056;0,5187938;0,55273;0,8836144;0,568453;0,9063172;0,5017244;0,5408798;0,8541392;0,5224616;0,4767639;0,3431768;0,5897485;0,4582419;0,5043842;0,7632055;1,067294;1,2476;0,5076219;0,8562018;0,4104036;0,6115969;0,8319091;0,4556812;0,3532074;0,3885423;0,4918649;0,4622339;0,6931747;0,5646963;0,649314;0,3968706;0,5591525;0,5718996;0,5500444;0,4757872;0,5812242;0,8875783;0,491746;0,8858512;0,4550195;0,4727714;0,9365602;0,4563359;0,4503877;0,2821365;0,5879359;0,5177677;0,4754338;0,7595113;0,9712358;1,116352
D13;1,974538;1,242338;1,93277;1,735126;0,6711091;1,872423;2,741388;2,293312;1,314171;1,874356;1,863749;0,6857795;1,76439;1,964854;0,5898341;0,9500072;0,358332;0,7855176;0,871703;0,579741;0,3911321;0,3255699;0,6350397;0,391178;0,5281328;0,5575386;0,7026827;0,4008962;0,6919466;0,5989561;0,533466;0,3118534;0,4320233;0,707797;0,4880794;1,023278;0,4334625;0,5983915;0,7790229;0,4365894;0,3650624;0,4339703;0,6021544;0,4706429;0,2797781;0,6903776;0,8243614;1,117265;0,5739207;0,7776491;922526,5;0,718436;0,7380996;0,527985;0,4223719;0,3565767;0,7895755;0,4106022;0,5326541;0,5099234;0,5974688;0,3972552;0,6801159;0,6603389;0,5084147;0,3116799;0,4501362;0,7413069;0,4557657;0,9330186;0,3547856;0,6520161;0,8273956;0,4243626;0,3371828;0,4301494;0,5864025;0,4845619;0,385462;0,5973066;0,7587816;1,028737
D14;1,965614;1,202278;1,777467;1,827757;0,6279626;1,72258;1,920333;2,030753;1,222407;1,784851;1,65525;0,5658462;1,554166;1,780432;0,4579092;0,7711366;0,3142073;0,6693183;0,8896852;0,5446014;0,3372492;0,3586885;0,5708697;0,3590519;0,4832655;0,56602;0,6245556;0,4178408;0,6007229;0,5273724;0,5154973;0,2953956;0,3892688;0,7071202;0,4463373;0,8823875;0,3542608;0,5487127;0,7099921;0,4093742;0,276051;0,3948614;0,5437275;0,455121;0,233977;0,6222598;0,7782983;1,014103;0,5103049;0,6988697;0,2335022;0,672451;0,7495367;0,4873429;0,4145194;0,3201779;0,5959883;0,3523393;0,5095269;0,522771;0,5026436;0,368664;0,4989513;0,5958583;0,3619234;0,2900365;0,400764;0,6766234;0,3964543;0,8505219;0,2924849;0,5035931;0,7155144;0,4092139;0,2869454;0,3639582;0,4950478;0,4306861;0,312175;0,576771;0,5856472;0,9329412
D15;2,112742;1,500004;1,989743;3,005453;0,7996868;2,315545;2,178466;2,225536;1,862017;1,990672;2,447112;0,9134233;2,265983;1,914402;0,7311304;0,9550153;0,3272501;0,7428789;1,004378;0,6421491;0,4123892;0,3968743;0,4946141;0,415119;0,677641;0,6621741;0,8606641;0,4574448;0,6705327;0,5570364;0,5543925;0,4111026;0,6129254;0,768623;0,5931147;0,760261;0,4741758;0,4969333;0,875467;0,5105385;0,4112619;0,3389765;0,8587221;0,4669776;0,5462527;0,756218;1,071601;1,314147;0,6308423;0,9605852;0,2808097;0,6984596;1,180024;0,6269221;0,3587252;0,4677997;0,5353169;0,3968562;0,6844427;0,556653;0,6603991;0,4873422;0,8705596;0,6221606;0,4565775;0,3840804;0,4832419;0,7239889;0,5315209;0,7145981;0,4406271;0,4863841;1,108043;0,4221891;0,4338787;0,313395;0,8888336;0,467554;0,5007276;0,9620399;1,086593;1,16474
D16;1,870278;1,57237;1,902964;2,217018;0,7735627;1,989283;2,237404;2,114913;1,668514;1,917097;2,219438;0,8134207;1,800057;1,84614;0,5798585;0,8624936;0,3796242;0,635234;0,9411807;0,590597;0,3853305;0,3518368;0,5868588;0,345114;0,6600238;0,5744902;0,7958876;0,4227836;0,622886;0,5548012;0,5458954;0,3640632;0,5413556;0,8050656;0,5565262;0,7141635;0,4651948;0,4774028;0,8714249;0,4921563;0,4398981;0,336767;0,7613796;0,4766887;0,4983614;0,7583708;0,9843446;1,346515;0,5696596;1,047142;0,3011368;0,6589701;0,9588786;0,5655261;0,352391;0,4365547;0,5602964;0,3380376;0,6951917;0,5273805;0,6760952;0,4257894;0,7320778;0,6421856;0,4905134;0,4036043;0,4621574;0,7091766;0,5249714;0,8116135;0,4296686;0,4717046;0,891381;0,4340088;0,452036;0,3144958;0,805197;0,4362564;0,4770654;0,9987276;1,075984;1,187456
D18;2,075826;1,387372;2,120875;2,888479;0,6781621;1,772964;1,86405;2,730863;1,332656;2,045515;1,621354;0,6366713;1,463126;2,050816;0,5752354;0,8913517;0,4572203;0,6822041;0,6807388;0,4073172;0,4089685;0,3778973;0,5230685;0,4819419;0,527739;0,6004395;0,4863294;0,3943746;0,7288135;0,4481836;0,5983848;0,3973184;0,548525;0,7068168;0,5515331;0,7156627;0,4951003;0,5271517;0,5604016;0,4358908;0,4372326;0,4475373;0,6909765;0,4779338;0,3109325;0,7637439;0,866125;1,180666;0,52851;0,8295309;0,372922;0,6918153;0,833185;0,403551;0,395056;0,3656501;0,5743618;0,5001504;0,4997827;0,5553098;0,5611918;0,387748;0,7862454;0,5526078;0,5479407;0,4261402;0,5548404;0,7642452;0,5033714;0,6960613;0,4305246;0,5429001;0,7479245;0,3931187;0,3822929;0,4669559;0,6684072;0,4435122;0,421928;0,8126085;0,7881253;1,128306
D19;2,216816;1,514306;2,103628;3,062681;0,7594645;1,936649;2,427046;2,459227;1,832255;2,25335;2,371063;0,781904;1,817918;2,167599;0,6371829;0,8771488;0,3829456;0,681365;0,8187999;0,5580311;0,4238627;0,3787962;0,6116283;0,4524142;0,5903347;0,6258251;0,7378307;0,4127139;0,6737643;0,4547548;0,5051464;0,3317731;0,4696775;0,7776556;0,4906612;0,8516533;0,391143;0,5060608;0,7289882;0,4465099;0,380255;0,3847287;0,6417921;0,4486555;0,3914103;0,5683416;1,03859;1,079665;0,5393944;0,7976932;0,3827372;0,6685542;0,671015;0,5444208;0,4080743;0,3986622;0,6325125;0,4639721;0,5869601;0,5414357;0,6407695;0,4491494;0,6591523;0,4881798;0,5424768;0,358247;0,5141876;0,7909843;0,4600671;0,8342254;0,3835165;0,5302565;0,8476416;0,4112495;0,3710746;0,3449972;0,6857292;0,4809372;0,32207;0,6988042;0,988391;1,080471
D2;2,215177;1,145127;1,968882;2,35449;0,6865529;1,641537;2,302762;2,353796;1,198075;1,912763;2,167108;0,7013084;1,692409;1,724136;0,4586937;0,7836184;351806,2;0,6520709;0,6407374;0,4594491;0,3353534;0,32762;0,5574759;0,3374411;0,5943992;0,5189301;0,7076438;0,346807;0,5527725;0,4664051;0,4164184;0,3060862;0,3683244;0,5783618;0,4478459;0,7312323;0,4348565;0,4907824;0,8150031;0,399074;0,4012737;0,335479;0,5321648;0,3873277;0,3973482;0,6219597;0,9059665;0,9728893;0,517562;0,7526063;2470692;0,6037701;0,7179738;0,4264976;0,3108919;0,3519014;0,5423066;0,3318143;0,5634148;0,4860062;0,584442;0,4006069;0,6642083;0,5086851;0,6047594;0,3603376;0,3442262;0,575317;0,4098793;0,680951;0,3592058;0,5201764;0,8116123;0,376225;0,3123782;0,3652915;0,5502427;0,3893721;0,3961826;0,6708907;0,7953915;0,9366573
D20;2,10752;1,59458;2,100048;2,626159;0,7383924;1,801769;1,803951;2,403993;1,772661;2,251851;2,471474;0,7636884;1,830583;2,188741;0,5625396;0,834668;0,3383969;0,6460983;0,7934123;0,5525324;0,4343155;0,4090008;0,629663;0,4097082;0,5576774;0,5886717;0,7234678;0,3926309;0,6052621;0,5041324;0,491499;0,3469996;0,4645936;0,7130041;0,4891155;0,843742;0,36967;0,5811245;0,7785635;0,4420654;0,3892469;0,3906773;0,6125625;0,4731733;0,4137192;0,5366275;1,001902;1,046199;0,6708849;0,8482143;0,3924279;0,6999009;0,5059116;0,5430986;0,4330056;0,4435021;0,5271171;0,4282441;0,6100021;0,5095839;0,6927107;0,5100869;0,5589516;0,5392701;0,5885601;0,3855719;0,5646346;0,765354;0,502255;0,8203516;0,3802;0,6002138;0,7768865;0,4658155;0,3763888;0,3632618;0,744609;0,5311432;0,374849;0,7157826;0,9719821;1,152664
